g,c,b,e
SSR1,6,7281287,7313541
CERS5,12,50523580,50561097
FAM110B,8,58907112,59062277
PPP3R2,9,104353896,104357283
LINC00475,9,94903748,94921890
SCARA5,8,27727398,27850369
MIR1295A,1,171070868,171070947
IFNA7,9,21201467,21202204
IFITM2,11,308106,309410
CCDC63,12,111284810,111345338
AKR1B15,7,134233848,134264592
ATP5F1,1,111991742,112004525
MED20,6,41873091,41888877
AKAP6,14,32798478,33302268
CHST3,10,73724119,73773322
LY86,6,6588933,6655216
MED17,11,93517404,93546496
CHST2,3,142838617,142842856
FADS2,11,61595712,61634825
TNFRSF10C,8,22960326,22974950
TMPRSS11D,4,68686593,68749716
SIGLEC5,19,52114755,52133727
ADAM7,8,24298508,24367077
SLC22A13,3,38307297,38319806
COX5A,15,75212616,75230495
SLC9A3R1,17,72744750,72765499
PPP1R3G,6,5085719,5087455
FAM180B,11,47608229,47610746
SPRR1B,1,153003678,153005376
CNOT8,5,154238197,154256352
PTGDR2,11,60618397,60623444
B4GALT5,20,48249482,48330421
B4GALT6,18,29202208,29264686
MED1,17,37560537,37607527
ZNHIT3,17,34842472,34851662
MMP20,11,102447565,102496063
KCNB2,8,73449625,73850584
GPR37L1,1,202092028,202098634
BCL7C,16,30899115,30905399
FRG2B,10,135438602,135440299
CBL,11,119076985,119178859
BORA,13,73302041,73330328
BEND3,6,107386384,107435636
C11orf94,11,45928085,45928833
IGSF5,21,41117333,41174023
HTR1E,6,87647023,87726397
LOC154449,6,170563421,170571657
CIDECP,3,10059236,10067820
SNORA28,14,103804185,103804311
PYY2,17,26553588,26555085
SNORA24,4,119200344,119200475
TUBA4B,2,220117964,220136910
SNORA23,11,9450312,9450501
SPRR2C,1,153112593,153113969
SNORA22,7,65220512,65220646
SNORA18,11,93466631,93466763
SNORA20,6,160201281,160201413
SNORA17,9,139621198,139621331
SNORA15,7,56128162,56128295
SNORA14B,1,235291117,235291252
SNORA14A,7,75573100,75573234
SNORA12,10,101996912,101997059
SNORA11,X,54840802,54840933
SNORA9,7,45024976,45025109
ERCC3,2,128014865,128051752
DES,2,220283098,220291461
RPL19,17,37356535,37360980
LACE1,6,108616097,108844251
UCMA,10,13263766,13276328
RASGEF1A,10,43689983,43762367
ZNF485,10,44101854,44113352
RTKN2,10,63952952,64028466
CADM4,19,44126521,44143991
C10orf35,10,71390002,71393355
SLC25A43,X,118533257,118588437
ZNF627,19,11708234,11729974
WDR90,16,699362,717829
C7orf33,7,148287656,148312952
ZBTB49,4,4291923,4323513
ZNF296,19,45574757,45579688
NKX2-3,10,101292689,101296280
SLC25A48,5,135170364,135224326
GCSAML,1,247712450,247739848
C14orf132,14,96505660,96560226
HIST2H2BA,1,120906033,120914842
LOC100131691,19,59070552,59086164
GPR158-AS1,10,25447000,25465205
LINC00696,3,52096109,52099128
CSNK1A1P1,15,37091300,37110707
LINC00906,19,29456037,29460055
C3orf65,3,185431039,185435955
ASB1,2,239335625,239360891
C4BPA,1,207277606,207318317
BLVRB,19,40953690,40971725
BDKRB1,14,96722546,96731100
AVPR1A,12,63536538,63546590
ALDH9A1,1,165631448,165667900
ADNP2,18,77866914,77898228
RFWD3,16,74655296,74700779
DARS2,1,173793796,173827682
ANPEP,15,90328125,90358072
LAG3,12,6881669,6887621
KRT86,12,52695648,52702947
KRT85,12,52753789,52761309
KRT83,12,52708084,52715182
KRT81,12,52679696,52685299
KRT35,17,39632940,39637392
KRT33B,17,39519745,39526052
KRT32,17,39615764,39623638
LOC100129550,3,122605359,122611263
RNF139,8,125487007,125500859
POLG2,17,62473901,62493184
SEC63,6,108188959,108279482
PRAF2,X,48928817,48931662
CLDN23,8,8559665,8561617
OR8J1,11,56127690,56128764
OR8B12,11,124412617,124413550
GPR124,8,37654400,37701504
LRCH3,3,197518144,197598456
ZNF503,10,77157602,77161513
TRIM52,5,180683385,180688119
PHF5A,22,41855720,41864708
RAX2,19,3769088,3772219
ZNF496,1,247463621,247495045
BRE-AS1,2,28112322,28113981
PLEKHJ1,19,2233154,2236328
MANSC1,12,12482217,12503169
SNORA16B,1,212526159,212526292
RPS8,1,45241245,45244412
RPS7,2,3622852,3628509
OPRD1,1,29138653,29190208
NPY1R,4,164245116,164253947
NPY2R,4,156129780,156138228
CGB,19,49526125,49527632
MIR27A,19,13947253,13947331
MIR18A,13,92003004,92003075
AKR1C1,10,5005453,5020158
DBP,19,49133816,49140639
DAPK3,19,3958451,3969826
DGKQ,4,952671,967348
MIR621,13,41384901,41384997
MIR600,9,125873824,125873922
GDI1,X,153665258,153671814
ZNF80,3,113953479,113956425
SUSD2,22,24577443,24585074
ESRP2,16,68262449,68270136
ZCCHC4,4,25314395,25372005
SNORA36B,1,220373887,220374018
LRRTM1,2,80529002,80531487
C1orf64,1,16330730,16333184
PLD6,17,17104308,17109646
ZNF827,4,146681887,146859607
PTGDS,9,139871955,139876194
KLKB1,4,187148671,187179625
KCNJ2,17,68165675,68176183
KCNJ5,11,128761312,128787951
ITGB7,12,53585106,53601000
XRCC1,19,44047463,44079730
LOC283335,12,53436972,53448222
LOC283194,11,58701115,58825925
LOC283177,11,134306375,134375555
MGC39372,6,2854890,2876744
FAM83H-AS1,8,144816309,144828507
WDR11-AS1,10,122521323,122610691
LOC283038,10,127371811,127398246
FLJ37035,10,127393858,127408062
LINC00841,10,44404751,44465355
MIR548J,22,26951177,26951289
SOGA2,18,8717368,8832775
COBL,7,51083908,51384515
OTUD3,1,20208887,20239437
SMNDC1,10,112052797,112064707
SAP18,13,21714652,21723224
CWC27,5,64064754,64314590
BET1,7,93620999,93633690
STAG1,3,136055998,136471245
FAM127A,X,134166332,134167575
SLC25A52,18,29339658,29340843
LOC100128573,19,7537722,7538247
MIR642A,19,46178185,46178282
MIR617,12,81226311,81226408
MIR639,19,14640354,14640452
MIR614,12,13068762,13068852
MIR613,12,12917582,12917677
MIR612,11,65211928,65212028
MIR609,10,105978546,105978641
MIR604,10,29833932,29834026
MIR603,10,24564613,24564710
MIR599,8,100548863,100548958
MIR620,12,116586364,116586459
MIR598,8,10892715,10892812
SOX12,20,306214,310872
GSS,20,33516235,33543601
TNNI3,19,55663135,55669100
TGM1,14,24718319,24732416
CNTF,11,58390145,58393205
HPX,11,6452267,6462254
IGFBP5,2,217536827,217560272
GALNS,16,88880141,88923374
ORM2,9,117092068,117095536
CYP2A6,19,41349442,41356352
CYP1A1,15,75011882,75017877
C8G,9,139839697,139841426
CYP11B2,8,143991974,143999259
F2,11,46740742,46761056
CFTR,7,117120016,117308718
IL6,7,22766765,22771621
IL3,5,131396346,131398896
C7,5,40909598,40983042
MEP1B,18,29769986,29800366
TYK2,19,10461203,10491248
TXK,4,48068409,48136273
TNFRSF4,1,1146705,1149548
RNMT,18,13726703,13764554
SLCO4A1,20,61273796,61303647
PRR11,17,57232859,57284070
CWF19L1,10,101992054,102027437
OR4F5,1,69090,70008
BAP1,3,52435019,52444121
S100A10,1,151955385,151966714
TRAPPC10,21,45432205,45526432
GPR137B,1,236305831,236372209
FTH1P18,X,37060954,37061867
C6orf118,6,165693152,165723111
NSMCE1,16,27236314,27280113
CCDC138,2,109403218,109492847
CCL19,9,34689566,34691274
CCL7,17,32597234,32599261
S100B,21,48018530,48025035
MUC16,19,8959519,9092018
ZNF750,17,80787309,80797931
FOXC2,16,86600856,86602537
FOXL1,16,86612114,86615304
PRCC,1,156737273,156770609
CCL26,7,75398841,75419064
PKDREJ,22,46651559,46659219
NAP1L4,11,2965659,3013607
NAB2,12,57482676,57489259
CORO6,17,27941773,27948441
TENM4,11,78364327,79151695
LOC646862,19,58907456,58908446
BTK,X,100604434,100641212
CDA,1,20915443,20945400
C19orf55,19,36249043,36260077
CD27,12,6554050,6560884
CNR2,1,24200459,24239817
CNN3,1,95362506,95392735
RLBP1,15,89753097,89764922
RHAG,6,49572889,49604587
ATP4B,13,114303121,114312513
FOXD2,1,47901688,47906363
AQP10,1,154293591,154297801
SELM,22,31500762,31503551
EREG,4,75230859,75254477
CPA3,3,148583042,148614872
MIDN,19,1248551,1259142
NKX6-2,10,134598319,134599537
GUCY2GP,10,114067935,114116353
MIR1-2,18,19408964,19409049
MIR1225,16,2140195,2140285
MIR944,3,189547710,189547798
MIR943,4,1988110,1988204
MIR942,1,117637264,117637350
MIR937,8,144895126,144895212
LOC283070,10,12875132,12877545
PIGS,17,26880405,26898887
BPIFB1,20,31870940,31897684
WDR49,3,167196472,167371289
C17orf112,17,51062879,51065012
SMC5,9,72873877,72969789
RAB21,12,72148657,72181150
MIR5584,1,45011164,45011224
MIR1252,12,79813036,79813101
MIR548I4,7,146991341,147254962
MIR548I2,4,9557788,9557937
MIR548I1,3,125509246,125509395
MIR302F,18,27878875,27878926
MIR1276,15,86313726,86313809
MIR1272,15,65054585,65054714
MIR1266,15,52569313,52569397
MIR1265,10,14478574,14478660
MIR548M,7,79400571,79400606
MIR1262,1,68649200,68649293
MIR1260A,14,77732560,77732633
MIR1277,X,117520356,117520434
MIR1257,20,60528601,60528718
MIR146B,10,104196268,104196341
MIR548H4,15,69116302,69489862
MIR517A,19,54215521,54215608
MIR1253,17,2651371,2651476
MIR1251,12,97885686,97885756
MIR1249,22,45596834,45596900
MIR548G,3,99273152,99717059
DHX57,2,39024875,39103021
KBTBD13,15,65369153,65372276
NPIPB3,16,21413454,21436658
TEX15,8,30689059,30706533
CCDC33,15,74528629,74628482
IFNW1,9,21140630,21142144
CCDC104,2,55746739,55772216
FLJ42393,3,187896330,187898596
SLC35E2B,1,1592938,1624243
USP36,17,76792964,76836969
PGAP1,2,197697727,197791454
INTS10,8,19674917,19709586
MRPS10,6,42174538,42185633
CEP72,5,612404,653666
WDFY1,2,224740064,224810052
ZFP28,19,57050316,57068170
IDO1,8,39771327,39786309
TRIM64B,11,89603605,89609185
OR10P1,12,56030675,56031617
PLA2G4E,15,42273779,42342901
ANKMY2,7,16639400,16685442
ZNF212,7,148936741,148952700
TECPR1,7,97844754,97881563
PSMC6,14,53173895,53194716
KIR2DS4,19,55344173,55360023
DRD5,4,9783257,9785633
DRD4,11,637304,640705
PTGER4,5,40680031,40693837
TACR2,10,71163957,71176674
FAM66C,12,8332804,8353596
FGD2,6,36973422,36996845
MURC,9,103340360,103350669
CYGB,17,74523429,74533987
AGPAT5,8,6565877,6619021
ABCF3,3,183903862,183911795
TMEM110-MUSTN1,3,52867130,52931597
C20orf197,20,58630979,58648008
RIMKLA,1,42846467,42889900
SLC25A41,19,6426047,6433790
TMEM145,19,42817476,42829214
ZNF776,19,58258163,58269527
ZNF547,19,57874890,57890925
RTTN,18,67671042,67872962
DYNAP,18,52258389,52266724
DNAH17,17,76419777,76573476
RBMX2,X,129535942,129547317
OTUD6B,8,92082423,92099323
MRGBP,20,61427804,61431945
TUBB4A,19,6494329,6502330
S100P,4,6695565,6698897
CACNG2,22,36956915,37098690
S100A2,1,153533584,153538306
LOC100128822,7,152161208,152162630
OR7D4,19,9324525,9325547
OR6Q1,11,57798424,57799378
UFSP1,7,100486343,100487339
BSX,11,122848356,122852379
RPL24,3,101399933,101405563
SERPINA3,14,95078713,95090390
RPL23A,17,27046999,27051374
PLOD3,7,100849257,100861011
BHMT,5,78407603,78428113
BGN,X,152760346,152775004
LRP3,19,33685598,33699773
SPDL1,5,169010637,169031781
AGAP7,10,51464150,51486327
USP28,11,113668596,113746256
MYH7B,20,33543703,33590240
ARMC1,8,66514690,66546452
RECK,9,36036909,36124452
COL14A1,8,121137346,121384273
LOC200726,2,207507141,207514173
CT62,15,71402582,71407839
ZNF836,19,52658124,52674896
ZNF554,19,2819871,2836733
BSPH1,19,48471302,48495427
ARL6IP1,16,18802990,18812857
PMPCA,9,139305115,139318213
FAM168A,11,73117027,73309228
LINC00891,X,70917045,70923256
LOC286083,8,1244293,1250827
LOC100132741,X,70917045,70923256
LINC00921,16,3313767,3317566
LOC286114,8,20831496,20852630
LOC100130298,8,61878679,61880307
CCDC74B-AS1,2,130887195,130896986
LOC286186,8,66439242,66474901
TBC1D3P5,17,25745030,25758649
ANKRD30BP3,10,45650109,45681489
LOC338817,12,11700963,11717335
LOC284344,19,43715942,43752798
LOC339505,1,20686293,20755287
ZNF536,19,30863327,31048965
ACAP1,17,7239847,7254793
SLC22A4,5,131630144,131679899
CDKL2,4,76501703,76555721
DAPK1,9,90112755,90323549
VNN1,6,133001996,133035194
LIN7A,12,81191170,81331694
STX6,1,180942175,180992046
ZNF443,19,12540519,12551926
GPA33,1,167022081,167059868
C4orf40,4,71019903,71032326
PRSS57,19,685545,695461
DACT2,6,168707583,168720402
C2orf27B,2,132552533,132559234
CHCHD10,22,24108020,24110141
KRT39,17,39114668,39123144
SFXN4,10,120900424,120925204
AIMP2,7,6048881,6063465
SLC5A2,16,31494438,31502091
C1orf204,1,159804263,159825137
TRIM63,1,26377795,26394125
TMEM240,1,1470157,1475740
PABPC4L,4,135117488,135122903
FTHL17,X,31089357,31090170
MRPL32,7,42971938,42977453
SOST,17,41831098,41836156
CARM1,19,10982252,11033448
OR52E4,11,5905522,5906461
OR52D1,11,5509914,5510978
OR52B4,11,4388492,4389616
SEBOX,17,26691289,26692265
ARPC5L,9,127631483,127639696
SRGAP2C,1,206516199,206581301
PPP1R36,14,65016619,65056096
CACNA2D4,12,1901122,2027870
C3orf72,3,138666075,138672830
FAM214A,15,52873517,52970820
TNRC6A,16,24741048,24837547
SNORD116-8,15,25315577,25315674
PKD1L1,7,47814249,47988071
RNASEK-C17orf49,17,6915735,6920843
MIA-RAB4B,19,41281441,41302849
C17orf61-PLSCR3,17,7293046,7307450
TEN1-CDK3,17,73975297,74002080
RAD51L3-RFFL,17,33336130,33448541
FKBP1A-SDCBP2,20,1290554,1373816
SERF2-C15ORF63,15,44084173,44094769
LOC100287632,6,119103870,119104581
HSPB2-C11orf52,11,111783459,111797595
BLOC1S1-RDH5,12,56109817,56118526
TMX2-CTNND1,11,57479994,57586652
ARL2-SNX15,11,64781584,64808044
BLOC1S5-TXNDC5,6,7881482,8064647
C10orf32-AS3MT,10,104613966,104661655
ZNF391,6,27356523,27369227
IBSP,4,88720701,88733601
EPHB4,7,100400186,100425143
S100A12,1,153346183,153348075
TTC1,5,159436179,159492550
TSTA3,8,144694787,144699732
OR4F6,15,102345922,102346861
IFNGR1,6,137518620,137540567
IAPP,12,21525801,21532914
SOX1,13,112721912,112726020
NPC1,18,21111462,21166581
TPP1,11,6633996,6640692
ASCL1,12,103351451,103354294
DUSP1,5,172195092,172198203
NUMBL,19,41171811,41196556
DHRS3,1,12627938,12677820
GJA4,1,35258598,35261348
EEF1A2,20,62119364,62130668
CAPN7,3,15247732,15294423
TGDS,13,95226307,95248511
TRAM1,8,71485452,71520694
NPTXR,22,39214455,39240017
CBX6,22,39260247,39268258
CAPN6,X,110488326,110513774
SSX7,X,52673110,52683950
MIR591,7,95848973,95849068
MIR516A2,19,54264386,54264476
ATP4A,19,36041094,36054560
BSND,1,55464616,55474465
LOC284632,1,24526729,24538180
LOC284551,1,31984035,31989846
FLJ36000,17,21904061,21913070
SNORD115-26,15,25463763,25463845
SNORD115-25,15,25460687,25460769
SNORD116-27,15,25346720,25346814
SNORD116-26,15,25344644,25344742
SNORD116-25,15,25342808,25342902
PLA2G4B,15,42131010,42140346
C8A,1,57320442,57383894
TRH,3,129693235,129696781
TOMM20,1,235272657,235292256
RPRD2,1,150336989,150449041
ARC,8,143692404,143695833
RPS27L,15,63445538,63449741
TXNDC11,16,11772942,11836648
SNORD98,10,70514928,70514995
SLC17A5,6,74303101,74363737
UBXN2B,8,59323822,59364060
ACTR3BP5,10,38989726,38991371
RGPD3,2,107021135,107084801
ETFDH,4,159593276,159629841
ESRRB,14,76837689,76968180
ESRRA,11,64073043,64084210
NACAD,7,45120035,45128493
C3orf83,3,12581279,12586963
TMEM178B,7,140774031,141180179
CHRNE,17,4801063,4806369
CSTF2,X,100075347,100095923
CHMP1B,18,11851388,11854448
HRASLS,3,192958916,192988644
TRIB3,20,361307,378203
XRCC5,2,216974019,217071016
KRTAP9-9,17,39411635,39412616
MAGEA3,X,151934651,151938240
PRDX6,1,173446485,173457946
SERP1,3,150259779,150264428
TUBGCP4,15,43663312,43698240
CCDC96,4,7042575,7044728
ANAPC4,4,25378847,25420120
ANAPC2,9,140069235,140083057
DNAJC5G,2,27498288,27504296
CCDC141,2,179694483,179914786
ANGEL2,1,213165523,213189168
LOC100130348,11,64855843,64856542
TXLNA,1,32645344,32663886
AQP2,12,50344523,50352664
APOC2,19,45449238,45452822
SLC18A2,10,119000583,119038941
MYT1,20,62795826,62873606
RRN3,16,15153878,15188158
TMEM63B,6,44095375,44123256
NIT2,3,100053561,100074478
YAE1D1,7,39606002,39612480
NT5M,17,17206679,17250977
MRPS22,3,139062860,139075887
OLFML3,1,114522029,114524875
PRTFDC1,10,25137553,25241533
CMC2,16,81009698,81040502
ACN9,7,96745904,96811075
DUSP22,6,292100,351355
PTPLB,3,123213362,123303924
SPINK8,3,48348335,48369831
CHI3L1,1,203148058,203155922
SLC8A2,19,47931278,47975307
SPCS1,3,52739856,52742197
OR10H1,19,15917816,15918936
OR10H2,19,15838833,15839862
C11orf54,11,93474792,93496247
TUBA1B,12,49521566,49525304
SIX1,14,61111416,61116155
TSPAN31,12,58138783,58142026
GPX8,5,54455983,54463129
BEND3P3,10,81442730,81448650
NUDC,1,27248212,27273362
SULT1C4,2,108994420,109004270
GPR19,12,12813994,12849121
CNPY3,6,42896859,42907008
CCT8,21,30428647,30446010
TLR6,4,38825328,38858438
C16orf82,16,27078218,27080487
MYOG,1,203052256,203055166
MYOD1,11,17741109,17743678
MYL5,4,671710,675817
PRPSAP1,17,74306867,74350230
RPA1,17,1733272,1802848
SLC7A1,13,30083550,30169825
ROS1,6,117609529,117747018
ARHGAP28,18,6834431,6915712
PRR14L,22,32077333,32146120
CYP4A22,1,47603106,47614526
THG1L,5,157158322,157166772
TTC12,11,113185250,113237114
C4orf27,4,170650618,170679093
CLNS1A,11,77327195,77348851
COX10,17,13972718,14111996
IL12A,3,159706622,159713806
IL2RB,22,37521879,37545962
TAS2R16,7,122634758,122635754
TAS2R3,7,141463896,141464997
RWDD2B,21,30378079,30391685
POLA1,X,24712063,25015102
SIX2,2,45232323,45236542
STX18,4,4420695,4543775
SHC3,9,91620685,91793682
COA4,11,73583712,73587890
CEND1,11,787109,790126
RASL12,15,65345674,65360388
RNF167,17,4843629,4848517
BFAR,16,14726667,14763093
TM7SF3,12,27124505,27167339
C1RL,12,7247145,7261869
GNG13,16,848040,850733
GPR83,11,94110476,94134585
ZNF571,19,38055154,38085673
ZNF581,19,56154985,56156989
NINJ2,12,673461,772755
KLF3,4,38665789,38703129
LARS2,3,45430074,45590328
RAB8B,15,63481727,63559973
METTL18,1,169761669,169764061
NT5C1A,1,40124792,40137710
KLRF1,12,9980076,9997603
C9orf78,9,132589563,132597572
PIPOX,17,27369917,27384236
AOX2P,2,201560445,201658941
ZNF137P,19,53099936,53103405
SNORD69,3,52726751,52726828
CBWD2,2,114195267,114253781
SNORA26,4,53579415,53579537
HSCB,22,29138042,29153496
SNORD75,1,173836016,173836076
GLIPR1,12,75874512,75895716
PDIA2,16,333117,337209
KIF2C,1,45205489,45233438
SMPDL3A,6,123109970,123130864
TTC37,5,94799598,94890709
AMFR,16,56395363,56459450
MRPL48,11,73498916,73575656
MTPAP,10,30598729,30638267
AGK,7,141251077,141354209
CCAR1,10,70480970,70551309
CTAGE6,7,143452181,143454843
AGBL3,7,134671258,134820530
TLE4,9,82186877,82341656
LAMTOR4,7,99746529,99751833
YDJC,22,21982377,21984340
DEPTOR,8,120885899,121063157
RMND5A,2,86947413,87005164
CEP85,1,26560692,26605299
OSBPL11,3,125247701,125314381
EXO5,1,40974432,40982214
EPS8L2,11,706119,727727
TM2D1,1,62146718,62191095
MTFMT,15,65293849,65321977
ZNF563,19,12428303,12444534
SNORD115-15,15,25451408,25477615
KIAA2013,1,11979644,11986485
VWA5B2,3,183948316,183960117
ESAM,11,124623018,124632223
CCNYL2,10,42903621,42967688
NRN1L,16,67918780,67920271
SUMO1P1,20,52491039,52492248
TFCP2L1,2,121974163,122042778
ANGPT4,20,853296,896960
C1QA,1,22963117,22966175
RBM7,11,114271383,114279635
ZNF589,3,48282595,48312479
MEX3A,1,156041803,156051789
CNPY1,7,155293952,155326539
CCDC64B,16,3077867,3085542
THEM4,1,151843342,151882361
TGM7,15,43568478,43594453
CATSPER1,11,65784222,65793988
CYYR1,21,27838527,27945581
LRRC3B,3,26664299,26752265
TADA1,1,166825748,166845654
SLC43A2,17,1477695,1532130
ANKRD13B,17,27920526,27941779
LSM12,17,42112002,42144987
MIR211,15,31357234,31357344
MIR1301,2,25551508,25551590
PPAPDC1A,10,122216465,122349367
RPL30,8,99053937,99057818
ETV6,12,11802787,12048325
GRN,17,42422490,42430470
MRPL44,2,224822120,224832431
LGALS7B,19,39279849,39282394
TMPRSS11BNL,4,69054241,69083798
CD81,11,2398546,2418649
EIF3J,15,44829265,44855001
EIF3I,1,32687970,32697205
SPOCK1,5,136310986,136835018
ANKRD30A,10,37414784,37521495
DDX23,12,49223538,49245957
SLC16A2,X,73641327,73753764
RP2,X,46696346,46741791
C2orf57,2,232457574,232458994
PLCXD3,5,41307047,41510730
ZNF808,19,53030908,53059303
OR9Q2,11,57957905,57958990
CTAGE9,6,132029580,132032157
RPL13AP6,10,112696360,112697013
KDM6B,17,7743234,7758118
FASLG,1,172628184,172636012
DRD1,5,174867674,174871163
FOLR3,11,71846770,71850934
SNORD116-1,15,25296622,25296719
SNORD115-23,15,25456942,25457024
SNORD115-22,15,25455064,25455146
SNORD115-21,15,25451408,25477615
SNORD115-20,15,25451408,25451490
C19orf35,19,2274630,2282181
ATP9B,18,76829396,77138282
HDDC3,15,91474154,91475774
ZNF710,15,90544751,90625432
KIF7,15,90171200,90198682
TEX9,15,56657643,56738072
RNF10,12,120972131,121015397
KBTBD11,8,1922043,1955109
C12orf66,12,64586418,64616076
AMDHD1,12,96337070,96362370
TTI1,20,36611422,36661833
SLC25A44,1,156163729,156182587
WSCD2,12,108523510,108644313
IPO13,1,44412477,44433694
NPIPA5,16,15457480,15472151
ACSM1,16,20634558,20702578
XPO7,8,21777179,21864096
ST6GALNAC1,17,74620844,74639894
TAS2R50,12,11138511,11139511
DRAM1,12,102271104,102317401
MIR660,X,49777848,49777945
MIR758,14,101492356,101492444
MIR659,22,38243684,38243781
USP17L2,8,11994676,11996269
ADAMTSL3,15,84322837,84708593
ANKHD1-EIF4EBP3,5,139781398,139929163
STK17A,7,43622691,43666978
EFNB1,X,68048839,68062006
MIR377,14,101528386,101528455
MIR663A,20,26188821,26188914
LOC440704,1,190594019,190770788
EMG1,12,7079943,7085165
TBC1D28,17,18538841,18547740
SPATA6L,9,4598315,4666674
OR14I1,1,248844669,248845605
BAHCC1,17,79373539,79433358
LINC00676,13,110380620,110382381
ATP6AP1,X,153656977,153664862
SLC5A5,19,17982781,18005983
ADRA1B,5,159343739,159400017
COL15A1,9,101705994,101833074
LOC100127888,20,61294378,61297973
LOC100130987,11,67085309,67159158
LOC730811,2,2323003,2330880
LOC100188947,10,93066718,93371217
LINC00426,13,30914406,30948036
DCTN1-AS1,2,74612844,74621008
TPT1-AS1,13,45915479,45965618
LOC100133612,1,3816967,3832011
NDUFB2-AS1,7,140395135,140396877
LOC100134368,16,432240,442960
LOC100134259,2,47055002,47086145
GUSBP11,22,23980674,24059610
DMGDH,5,78293428,78365449
SNAI3,16,88744089,88752882
POU3F4,X,82763268,82764775
MYBPC3,11,47352956,47374253
UBTFL1,11,89819117,89820299
KIAA1586,6,56911383,56920023
ZNF14,19,19821280,19843921
ZSWIM6,5,60628099,60841999
KRT20,17,39032140,39041495
VAT1L,16,77822482,78014001
C21orf128,21,43522243,43528644
SSTR5-AS1,16,1114081,1128731
LOC344967,4,40044536,40058819
